"x","y","location"
-115306.038350869,6727117.51144251,"extension buffer"
141875.436008241,7111325.53076173,"extension buffer"
1062358.76187048,7770260.5624419,"inside region"
-77075.1293061341,6907305.73912482,"extension buffer"
1040943.30418639,7662871.83743103,"extension buffer"
832577.851956368,7658651.97411295,"inside region"
476310.623367997,7421128.03069848,"inside region"
1005520.25239238,7974123.0414842,"extension buffer"
159675.22199985,6760752.83448471,"inside region"
33826.9225432103,6933110.32122364,"inside region"
683938.195965652,7662800.99452731,"inside region"
-118353.653263622,6799806.53136969,"extension buffer"
936252.770776073,7706663.76442018,"inside region"
373145.757674076,7259995.5585291,"inside region"
421596.703198881,7226440.39690937,"inside region"
260558.641878674,7254917.94841196,"extension buffer"
313711.752864412,7215264.70196069,"inside region"
825160.707348866,7792947.423114,"inside region"
365027.907088016,6529053.74814562,"extension buffer"
146000.104726376,6675166.60695997,"inside region"
521886.806932912,7237333.54548796,"extension buffer"
469160.5272795,7258061.88471709,"inside region"
31055.0003783367,6407650.61210887,"extension buffer"
16308.5540009774,6859448.74560806,"inside region"
370061.840590818,7421956.40017639,"inside region"
334731.844430605,7322581.90584356,"inside region"
827509.356014522,7968626.26423477,"extension buffer"
906345.11051517,7910878.20995447,"inside region"
976185.660379928,7873655.83343053,"inside region"
515790.861403266,7167019.67965227,"extension buffer"
1157416.09517281,7754909.17183747,"extension buffer"
414181.004179607,7174145.27763053,"inside region"
-37014.1432751804,6637644.44066144,"inside region"
424377.190167934,6862157.24125127,"extension buffer"
1009743.58750143,7769902.21132869,"inside region"
1133962.25025497,7926824.23215767,"extension buffer"
952151.038276146,7987319.16234779,"extension buffer"
-48771.465050381,6953581.39050319,"extension buffer"
-120043.537432593,6571580.79406428,"extension buffer"
89241.1590182772,6836865.55249997,"inside region"
494898.715739302,7068045.62520402,"extension buffer"
95270.5293594617,6785284.33116125,"inside region"
723242.270477449,7833026.19605347,"extension buffer"
792650.831911675,7564113.65942791,"extension buffer"
195823.668652637,6587026.79883014,"inside region"
767672.192853059,7679026.97418983,"inside region"
74281.1693275104,6696067.58636429,"inside region"
159801.53985315,7160137.18423311,"extension buffer"
273130.713253662,6961843.54268128,"inside region"
573268.528389709,7393273.073362,"extension buffer"
1091562.9020908,7674600.14399841,"extension buffer"
311670.292625414,6789754.75441581,"inside region"
99581.0946038849,6922410.60502677,"inside region"
689091.812193227,7496998.04848156,"extension buffer"
331819.538353313,6479607.94196918,"extension buffer"
127760.230452144,6413605.07974269,"extension buffer"
